evento,valor,tipo,mes_ano,fonte,Saldo Anterior (R$),Débitos (R$),Créditos (R$)
Água/Esgoto,10013.66,DESPESA,2024-05,XLSX,,,
Pg.bóia,289.26,DESPESA,2024-05,XLSX,,,
Pg.manutenção,2000.0,DESPESA,2024-05,XLSX,,,
Peças Elevador,1026.88,DESPESA,2024-05,XLSX,,,
Pg.manut.elevador,885.43,DESPESA,2024-05,XLSX,,,
Pg.material,264.1,DESPESA,2024-05,XLSX,,,
Pg.mat.limpeza,705.2,DESPESA,2024-05,XLSX,,,
Pg.,650.0,DESPESA,2024-05,XLSX,,,
Pg.tx.fin.sd.dev.04/2024,910.0,DESPESA,2024-05,XLSX,,,
Pg.issqn,1180.79,DESPESA,2024-05,XLSX,,,
Pg.seguro Incêndio,1131.64,DESPESA,2024-05,XLSX,,,
Pg. Internet,112.89,DESPESA,2024-05,XLSX,,,
Pg.transações Bco.ted/Doc,28.0,DESPESA,2024-05,XLSX,,,
Pg.declaração Pmpa/Issqndec,35.0,DESPESA,2024-05,XLSX,,,
Pg.impressões/Fotoc.,7.35,DESPESA,2024-05,XLSX,,,
Pg.efd-Reinf/E-Social/Impostos,73.0,DESPESA,2024-05,XLSX,,,
Pg.tarifa Banco Cobrança,552.0,DESPESA,2024-05,XLSX,,,
Subtotal,58243.88,DESPESA,2024-05,XLSX,,,
Outros Eventos,52141.94,RECEITA,2024-06,XLSX,,,
Fundo Obras,478.31,RECEITA,2024-06,XLSX,,,
Rec.condomínio,50593.63,RECEITA,2024-06,XLSX,,,
Rec.taxa Uso Box,390.0,RECEITA,2024-06,XLSX,,,
Rec.alug.depósito,80.0,RECEITA,2024-06,XLSX,,,
Rec.cond.estacionamento,600.0,RECEITA,2024-06,XLSX,,,
Rec. Multa,83.26,RECEITA,2024-06,XLSX,,,
Rec.multa+C.m.+Jrs.,15.1,RECEITA,2024-06,XLSX,,,
Subtotal,52240.3,RECEITA,2024-06,XLSX,,,
Pg.pcmso Secovimed,400.7,DESPESA,2024-06,XLSX,,,
Pg.serv.limp.,5312.83,DESPESA,2024-06,XLSX,,,
Pg.serv.portaria,19278.91,DESPESA,2024-06,XLSX,,,
Pg.secovimed,337.6,DESPESA,2024-06,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2024-06,XLSX,,,
Pg.fgts,452.16,DESPESA,2024-06,XLSX,,,
Pg.vale Transporte,130.55,DESPESA,2024-06,XLSX,,,
Pg.vale Refeição/Alimentação,200.0,DESPESA,2024-06,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2024-06,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2024-06,XLSX,,,
Prov.darf Inss(E-Social/Reinf),1489.57,DESPESA,2024-06,XLSX,,,
Pg.salário,3012.56,DESPESA,2024-06,XLSX,,,
Pg.seg.vida Func.06/2024,286.65,DESPESA,2024-06,XLSX,,,
Pg.folha Func.bco.,18.0,DESPESA,2024-06,XLSX,,,
Água/Esgoto,6324.8,DESPESA,2024-06,XLSX,,,
Pg.bóia,241.05,DESPESA,2024-06,XLSX,,,
Peças Elevador,1026.88,DESPESA,2024-06,XLSX,,,
Pg.manut.elevador,885.43,DESPESA,2024-06,XLSX,,,
Pg.tx.fin.sd.dev.05/2024,1072.0,DESPESA,2024-06,XLSX,,,
Pg.issqn,1108.17,DESPESA,2024-06,XLSX,,,
Pg.seguro Incêndio,1131.64,DESPESA,2024-06,XLSX,,,
Pg. Internet,112.89,DESPESA,2024-06,XLSX,,,
Pg.elab-Reinf/E-Social/Impostos,73.0,DESPESA,2024-06,XLSX,,,
Pg.transações Bco.ted/Doc,28.0,DESPESA,2024-06,XLSX,,,
Pg.declaração Pmpa/Issqndec,35.0,DESPESA,2024-06,XLSX,,,
Pg.,484.23,DESPESA,2024-06,XLSX,,,
Pg.tarifa Banco Cobrança,552.0,DESPESA,2024-06,XLSX,,,
Pg.impressões/Fotoc.,7.35,DESPESA,2024-06,XLSX,,,
Subtotal,45807.79,DESPESA,2024-06,XLSX,,,
Outros Eventos,54434.48,RECEITA,2024-07,XLSX,,,
Fundo Obras,542.37,RECEITA,2024-07,XLSX,,,
Rec.condomínio,52232.11,RECEITA,2024-07,XLSX,,,
Rec.alug.depósito,110.0,RECEITA,2024-07,XLSX,,,
Rec.cond.estacionamento,760.0,RECEITA,2024-07,XLSX,,,
Rec.taxa Uso Box,790.0,RECEITA,2024-07,XLSX,,,
Rec. Multa,58.34,RECEITA,2024-07,XLSX,,,
Rec.multa+C.m.+Jrs.,187.63,RECEITA,2024-07,XLSX,,,
Subtotal,54680.45,RECEITA,2024-07,XLSX,,,
Pg.síndico Prof.,3871.0,DESPESA,2024-07,XLSX,,,
Pg.,7.0,DESPESA,2024-07,XLSX,,,
Pg.serv.limp.,5308.24,DESPESA,2024-07,XLSX,,,
Pg.serv.portaria,19262.26,DESPESA,2024-07,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2024-07,XLSX,,,
Pg.fgts,326.64,DESPESA,2024-07,XLSX,,,
Pg.pcmso Secovimed,200.35,DESPESA,2024-07,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1514.06,DESPESA,2024-07,XLSX,,,
Pg.vale Refeição/Alimentação,200.0,DESPESA,2024-07,XLSX,,,
Pg.vale Transporte,2129.78,DESPESA,2024-07,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2024-07,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2024-07,XLSX,,,
Pg.secovimed,168.8,DESPESA,2024-07,XLSX,,,
Pg.folha Func.bco.,18.0,DESPESA,2024-07,XLSX,,,
Pg.salário,2476.93,DESPESA,2024-07,XLSX,,,
Pg.seg.vida Func.07/2024,286.65,DESPESA,2024-07,XLSX,,,
Água/Esgoto,7610.76,DESPESA,2024-07,XLSX,,,
Pg.rep.bombas,722.32,DESPESA,2024-07,XLSX,,,
Pg.rep.elétrico,2600.0,DESPESA,2024-07,XLSX,,,
Pg.manutenção,175.57,DESPESA,2024-07,XLSX,,,
Pg.disjuntor,58.5,DESPESA,2024-07,XLSX,,,
Pg.recarga Extintores,5169.0,DESPESA,2024-07,XLSX,,,
Peças Elevador,1026.88,DESPESA,2024-07,XLSX,,,
Pg.manut.elevador,885.43,DESPESA,2024-07,XLSX,,,
Pg.material,941.79,DESPESA,2024-07,XLSX,,,
Pg.mat.limpeza,542.8,DESPESA,2024-07,XLSX,,,
Pg.tx.fin.sd.dev.06/2024,943.0,DESPESA,2024-07,XLSX,,,
Pg.issqn,1092.74,DESPESA,2024-07,XLSX,,,
Pg.seguro Incêndio,1131.64,DESPESA,2024-07,XLSX,,,
Pg. Internet,112.89,DESPESA,2024-07,XLSX,,,
Pg.transações Bco.ted/Doc,7.0,DESPESA,2024-07,XLSX,,,
Pg.declaração Pmpa/Issqndec,35.0,DESPESA,2024-07,XLSX,,,
Retirada P/Posterior Acerto,3950.0,DESPESA,2024-07,XLSX,,,
Pg.elab-Reinf/E-Social/Impostos,73.0,DESPESA,2024-07,XLSX,,,
Pg.tarifa Banco Cobrança,552.0,DESPESA,2024-07,XLSX,,,
Pg.impressões/Fotoc.,7.35,DESPESA,2024-07,XLSX,,,
Subtotal,65213.2,DESPESA,2024-07,XLSX,,,
Outros Eventos,59348.49,RECEITA,2024-08,XLSX,,,
Fundo Obras,546.42,RECEITA,2024-08,XLSX,,,
Rec.condomínio,53712.07,RECEITA,2024-08,XLSX,,,
Rec.taxa Uso Box,390.0,RECEITA,2024-08,XLSX,,,
Rec.cond.estacionamento,680.0,RECEITA,2024-08,XLSX,,,
Rec.alug.depósito,70.0,RECEITA,2024-08,XLSX,,,
Rec.devolução Retirada,3950.0,RECEITA,2024-08,XLSX,,,
Rec.multa+C.m.+Jrs.,342.29,RECEITA,2024-08,XLSX,,,
Rec. Multa,48.7,RECEITA,2024-08,XLSX,,,
Subtotal,59739.48,RECEITA,2024-08,XLSX,,,
Pg.síndico Prof.,3871.0,DESPESA,2024-08,XLSX,,,
Pg.serv.portaria,19253.68,DESPESA,2024-08,XLSX,,,
Pg.serv.limp.,5305.88,DESPESA,2024-08,XLSX,,,
Pg.adto.salário,300.0,DESPESA,2024-08,XLSX,,,
Pg.fgts,294.78,DESPESA,2024-08,XLSX,,,
Pg.vale Refeição/Alimentação,100.0,DESPESA,2024-08,XLSX,,,
Pg.vale Transporte,781.89,DESPESA,2024-08,XLSX,,,
Pg.pcmso Secovimed,200.39,DESPESA,2024-08,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1374.23,DESPESA,2024-08,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2024-08,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2024-08,XLSX,,,
Pg.secovimed,201.38,DESPESA,2024-08,XLSX,,,
Pg.dissídio Empregador/2024,340.29,DESPESA,2024-08,XLSX,,,
Pg.salário,1531.73,DESPESA,2024-08,XLSX,,,
Pg.folha Func.bco.,9.0,DESPESA,2024-08,XLSX,,,
Pg.seg.vida Func.08/2024,286.65,DESPESA,2024-08,XLSX,,,
Água/Esgoto,8990.14,DESPESA,2024-08,XLSX,,,
Pg.ceee,1640.45,DESPESA,2024-08,XLSX,,,
Pg.rep.elétrico,2800.0,DESPESA,2024-08,XLSX,,,
Pg.contr.remoto,214.87,DESPESA,2024-08,XLSX,,,
Peças Elevador,1026.88,DESPESA,2024-08,XLSX,,,
Pg.manut.elevador,922.88,DESPESA,2024-08,XLSX,,,
Pg.mat.limpeza,405.68,DESPESA,2024-08,XLSX,,,
Pg.tx.fin.sd.dev.07/2024,1154.0,DESPESA,2024-08,XLSX,,,
Pg.seguro Incêndio,1131.64,DESPESA,2024-08,XLSX,,,
Pg.issqn,1146.09,DESPESA,2024-08,XLSX,,,
Pg. Internet,115.19,DESPESA,2024-08,XLSX,,,
Pg.transações Bco.ted/Doc,28.0,DESPESA,2024-08,XLSX,,,
Pg.,144.0,DESPESA,2024-08,XLSX,,,
Pg.declaração Pmpa/Issqndec,35.0,DESPESA,2024-08,XLSX,,,
Pg.elab-Reinf/E-Social/Impostos,73.0,DESPESA,2024-08,XLSX,,,
Pg.tarifa Banco Cobrança,552.0,DESPESA,2024-08,XLSX,,,
Pg.impressões/Fotoc.,7.35,DESPESA,2024-08,XLSX,,,
Subtotal,55443.89,DESPESA,2024-08,XLSX,,,
Outros Eventos,50741.51,RECEITA,2024-09,XLSX,,,
Fundo Obras,474.41,RECEITA,2024-09,XLSX,,,
Rec.condomínio,49207.1,RECEITA,2024-09,XLSX,,,
Rec.alug.depósito,70.0,RECEITA,2024-09,XLSX,,,
Rec.taxa Uso Box,390.0,RECEITA,2024-09,XLSX,,,
Rec.cond.estacionamento,600.0,RECEITA,2024-09,XLSX,,,
Rec. Multa,46.33,RECEITA,2024-09,XLSX,,,
Rec.multa+C.m.+Jrs.,51.54,RECEITA,2024-09,XLSX,,,
Subtotal,50839.38,RECEITA,2024-09,XLSX,,,
Pg.síndico Prof.,3871.0,DESPESA,2024-09,XLSX,,,
Pg.serv.portaria,19256.88,DESPESA,2024-09,XLSX,,,
Pg.serv.limp.,5306.76,DESPESA,2024-09,XLSX,,,
Pg.adto.salário,300.0,DESPESA,2024-09,XLSX,,,
Pg.fgts,168.23,DESPESA,2024-09,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1394.18,DESPESA,2024-09,XLSX,,,
Pg.pcmso Secovimed,200.35,DESPESA,2024-09,XLSX,,,
Pg.vale Refeição/Alimentação,100.0,DESPESA,2024-09,XLSX,,,
Pg.vale Transporte,812.65,DESPESA,2024-09,XLSX,,,
Pg.secovimed,175.32,DESPESA,2024-09,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2024-09,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2024-09,XLSX,,,
Pg.salário,1531.73,DESPESA,2024-09,XLSX,,,
Pg.folha Func.bco.,9.0,DESPESA,2024-09,XLSX,,,
Pg.seg.vida Func.09/2024,286.65,DESPESA,2024-09,XLSX,,,
Água/Esgoto,10328.59,DESPESA,2024-09,XLSX,,,
Pg.ceee,2675.04,DESPESA,2024-09,XLSX,,,
Peças Elevador,1026.88,DESPESA,2024-09,XLSX,,,
Pg.manutenção,1800.0,DESPESA,2024-09,XLSX,,,
Pg.manut.elevador,922.88,DESPESA,2024-09,XLSX,,,
Pg.materiais,596.98,DESPESA,2024-09,XLSX,,,
Pg.mat.limpeza,255.15,DESPESA,2024-09,XLSX,,,
Pg.lâmpadas,79.8,DESPESA,2024-09,XLSX,,,
Pg.tx.fin.sd.dev.08/2024,1068.0,DESPESA,2024-09,XLSX,,,
Pg.seguro Incêndio,1131.64,DESPESA,2024-09,XLSX,,,
Pg.issqn,1132.14,DESPESA,2024-09,XLSX,,,
Pg.transações Bco.ted/Doc,14.0,DESPESA,2024-09,XLSX,,,
Pg.declaração Pmpa/Issqndec,35.0,DESPESA,2024-09,XLSX,,,
Pg.elab-Reinf/E-Social/Impostos,73.0,DESPESA,2024-09,XLSX,,,
Pg.tarifa Banco Cobrança,552.0,DESPESA,2024-09,XLSX,,,
Pg. Internet,115.3,DESPESA,2024-09,XLSX,,,
Pg.descarte Docum./2019,90.0,DESPESA,2024-09,XLSX,,,
Pg.impressões/Fotoc.,6.3,DESPESA,2024-09,XLSX,,,
Subtotal,56521.27,DESPESA,2024-09,XLSX,,,
Outros Eventos,59655.15,RECEITA,2024-10,XLSX,,,
Fundo Obras,712.9,RECEITA,2024-10,XLSX,,,
Rec.condomínio,57962.25,RECEITA,2024-10,XLSX,,,
Rec.alug.depósito,70.0,RECEITA,2024-10,XLSX,,,
Rec.cond.estacionamento,720.0,RECEITA,2024-10,XLSX,,,
Rec.taxa Uso Box,190.0,RECEITA,2024-10,XLSX,,,
Rec.multa+C.m.+Jrs.,1074.86,RECEITA,2024-10,XLSX,,,
Rec. Multa,38.16,RECEITA,2024-10,XLSX,,,
Rec.ch.extra Férias,20.2,RECEITA,2024-10,XLSX,,,
13º Salario,57.8,RECEITA,2024-10,XLSX,,,
Subtotal,60846.17,RECEITA,2024-10,XLSX,,,
Pg.síndico Prof.,3871.0,DESPESA,2024-10,XLSX,,,
Pg.honor.processo,1000.58,DESPESA,2024-10,XLSX,,,
Estorno,229.84,DESPESA,2024-10,XLSX,,,
Pg.vale Refeição/Alimentação,290.0,DESPESA,2024-10,XLSX,,,
Pg.serv.portaria,19256.14,DESPESA,2024-10,XLSX,,,
Pg.serv.limp.,5306.56,DESPESA,2024-10,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2024-10,XLSX,,,
Pg.fgts,168.23,DESPESA,2024-10,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1194.18,DESPESA,2024-10,XLSX,,,
Pg.vale Transporte,1032.38,DESPESA,2024-10,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2024-10,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2024-10,XLSX,,,
Pg.secovimed,175.32,DESPESA,2024-10,XLSX,,,
Pg.seg.vida Func.10/2024,286.65,DESPESA,2024-10,XLSX,,,
Pg.salário,2925.44,DESPESA,2024-10,XLSX,,,
Pg.folha Func.bco.,18.0,DESPESA,2024-10,XLSX,,,
Água/Esgoto,9375.16,DESPESA,2024-10,XLSX,,,
Pg.ceee,2396.21,DESPESA,2024-10,XLSX,,,
Peças Elevador,1026.88,DESPESA,2024-10,XLSX,,,
Pg.rep.elétrico,100.0,DESPESA,2024-10,XLSX,,,
Pg.manut.elevador,922.88,DESPESA,2024-10,XLSX,,,
Pg.reforma,3720.0,DESPESA,2024-10,XLSX,,,
Pg.lâmpadas,1011.06,DESPESA,2024-10,XLSX,,,
Pg.mat.limpeza,1312.51,DESPESA,2024-10,XLSX,,,
Pg.tx.fin.sd.dev.09/2024,1182.0,DESPESA,2024-10,XLSX,,,
Pg.seguro Incêndio,1131.66,DESPESA,2024-10,XLSX,,,
Pg.issqn,1143.33,DESPESA,2024-10,XLSX,,,
Pg.bateria,1106.1,DESPESA,2024-10,XLSX,,,
Pg.transações Bco.ted/Doc,14.0,DESPESA,2024-10,XLSX,,,
Pg.declaração Pmpa/Issqndec,35.0,DESPESA,2024-10,XLSX,,,
Pg. Internet,112.89,DESPESA,2024-10,XLSX,,,
Pg.elab-Reinf/E-Social/Impostos,73.0,DESPESA,2024-10,XLSX,,,
Pg.impressões/Fotoc.,10.5,DESPESA,2024-10,XLSX,,,
Pg.tarifa Banco Cobrança,552.0,DESPESA,2024-10,XLSX,,,
Subtotal,62785.32,DESPESA,2024-10,XLSX,,,
Outros Eventos,52908.26,RECEITA,2024-11,XLSX,,,
Fundo Obras,489.43,RECEITA,2024-11,XLSX,,,
Rec.condomínio,51158.83,RECEITA,2024-11,XLSX,,,
Rec.taxa Uso Box,390.0,RECEITA,2024-11,XLSX,,,
Rec.cond.estacionamento,800.0,RECEITA,2024-11,XLSX,,,
Rec.alug.depósito,70.0,RECEITA,2024-11,XLSX,,,
Rec.multa+C.m.+Jrs.,196.35,RECEITA,2024-11,XLSX,,,
Rec. Multa,88.15,RECEITA,2024-11,XLSX,,,
13º Salario,1808.55,RECEITA,2024-11,XLSX,,,
Subtotal,55001.31,RECEITA,2024-11,XLSX,,,
Pg.síndico Prof.,3871.0,DESPESA,2024-11,XLSX,,,
Pg.sindef Dissídio-Desc.fl.pgtº.,162.0,DESPESA,2024-11,XLSX,,,
Pg.vale Transporte,1226.68,DESPESA,2024-11,XLSX,,,
Pg.serv.limp.,5306.01,DESPESA,2024-11,XLSX,,,
Pg.serv.portaria,19254.16,DESPESA,2024-11,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2024-11,XLSX,,,
Pg.fgts,315.35,DESPESA,2024-11,XLSX,,,
Pg.darf Inss(E-Social/Reinf),2240.84,DESPESA,2024-11,XLSX,,,
Pg.vale Refeição/Alimentação,200.0,DESPESA,2024-11,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2024-11,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2024-11,XLSX,,,
Pg.secovimed,175.32,DESPESA,2024-11,XLSX,,,
Pg.folha Func.bco.,18.0,DESPESA,2024-11,XLSX,,,
Pg.1º Parc.13º Sal.,272.05,DESPESA,2024-11,XLSX,,,
Pg.salário,3009.31,DESPESA,2024-11,XLSX,,,
Pg.seg.vida Func.11/2024,286.65,DESPESA,2024-11,XLSX,,,
Água/Esgoto,6464.77,DESPESA,2024-11,XLSX,,,
Pg.ceee,2592.99,DESPESA,2024-11,XLSX,,,
Peças Elevador,1026.88,DESPESA,2024-11,XLSX,,,
Pg.manut.elevador,922.88,DESPESA,2024-11,XLSX,,,
Pg.coluna Água,1450.0,DESPESA,2024-11,XLSX,,,
Pg.materiais,1210.5,DESPESA,2024-11,XLSX,,,
Pg.tx.fin.sd.dev.10/2024,1220.0,DESPESA,2024-11,XLSX,,,
Pg.issqn,1123.85,DESPESA,2024-11,XLSX,,,
Pg.transações Bco.ted/Doc,31.5,DESPESA,2024-11,XLSX,,,
Pg. Internet,117.86,DESPESA,2024-11,XLSX,,,
Pg.declaração Pmpa/Issqndec,35.0,DESPESA,2024-11,XLSX,,,
Pg.elab-Reinf/E-Social/Impostos,73.0,DESPESA,2024-11,XLSX,,,
Pg.tarifa Banco Cobrança,552.0,DESPESA,2024-11,XLSX,,,
Pg.impressões/Fotoc.,14.0,DESPESA,2024-11,XLSX,,,
Subtotal,54978.42,DESPESA,2024-11,XLSX,,,
Outros Eventos,67235.13,RECEITA,2024-12,XLSX,,,
Fundo Obras,945.67,RECEITA,2024-12,XLSX,,,
Rec.condomínio,64869.46,RECEITA,2024-12,XLSX,,,
Rec.cond.estacionamento,760.0,RECEITA,2024-12,XLSX,,,
Rec.taxa Uso Box,590.0,RECEITA,2024-12,XLSX,,,
Rec.alug.depósito,70.0,RECEITA,2024-12,XLSX,,,
Rec.multa+C.m.+Jrs.,2409.71,RECEITA,2024-12,XLSX,,,
Rec. Multa,71.39,RECEITA,2024-12,XLSX,,,
13º Salario,1976.46,RECEITA,2024-12,XLSX,,,
Rec.ch.extra Férias,32.41,RECEITA,2024-12,XLSX,,,
Subtotal,71725.1,RECEITA,2024-12,XLSX,,,
Pg.síndico Prof.,3871.0,DESPESA,2024-12,XLSX,,,
Pg.serv.portaria,19251.3,DESPESA,2024-12,XLSX,,,
Pg.serv.limp.,5305.23,DESPESA,2024-12,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2024-12,XLSX,,,
Pg.2º Parc.13º Sal./2024,1607.16,DESPESA,2024-12,XLSX,,,
Pg.vale Transporte,1226.4,DESPESA,2024-12,XLSX,,,
Pg.fgts,353.46,DESPESA,2024-12,XLSX,,,
Pg.vale Refeição/Alimentação,200.0,DESPESA,2024-12,XLSX,,,
Pg.darf Inss(E-Social/Reinf),2118.4,DESPESA,2024-12,XLSX,,,
Pg.secovimed,175.32,DESPESA,2024-12,XLSX,,,
Pg.inss S/13º Sal.,1313.17,DESPESA,2024-12,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2024-12,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2024-12,XLSX,,,
Pg.folha Func.bco.,36.0,DESPESA,2024-12,XLSX,,,
Pg.salário,3009.31,DESPESA,2024-12,XLSX,,,
Pg.seg.vida Func.12/2024,227.04,DESPESA,2024-12,XLSX,,,
Água/Esgoto,8056.9,DESPESA,2024-12,XLSX,,,
Pg.ceee,2581.59,DESPESA,2024-12,XLSX,,,
Pg.manutenção,1800.0,DESPESA,2024-12,XLSX,,,
Pg.desinsetização,436.1,DESPESA,2024-12,XLSX,,,
Peças Elevador,1026.88,DESPESA,2024-12,XLSX,,,
Pg.manut.elevador,922.88,DESPESA,2024-12,XLSX,,,
Pg.coluna Água,1450.0,DESPESA,2024-12,XLSX,,,
Pg.mat.pintura,952.27,DESPESA,2024-12,XLSX,,,
Pg.pintura,2200.0,DESPESA,2024-12,XLSX,,,
Pg.mat.limpeza,376.9,DESPESA,2024-12,XLSX,,,
Pg.tx.fin.sd.dev.11/2024,1220.0,DESPESA,2024-12,XLSX,,,
Pg.issqn,1186.18,DESPESA,2024-12,XLSX,,,
Honor.advoc.,1256.68,DESPESA,2024-12,XLSX,,,
Pg.declaração Pmpa/Issqndec,35.0,DESPESA,2024-12,XLSX,,,
Pg.tapete,1360.0,DESPESA,2024-12,XLSX,,,
Pg. Internet,112.89,DESPESA,2024-12,XLSX,,,
Pg.transações Bco.ted,17.5,DESPESA,2024-12,XLSX,,,
Pg.elab-Reinf/E-Social/Impostos,73.0,DESPESA,2024-12,XLSX,,,
Pg.tarifa Banco Cobrança,552.0,DESPESA,2024-12,XLSX,,,
Pg.impressões/Fotoc.,10.5,DESPESA,2024-12,XLSX,,,
Subtotal,66126.88,DESPESA,2024-12,XLSX,,,
Outros Eventos,54627.08,RECEITA,2025-01,XLSX,,,
Rec.cond.estacionamento,680.0,RECEITA,2025-01,XLSX,,,
Rec.alug.depósito,70.0,RECEITA,2025-01,XLSX,,,
Fundo Obras,488.09,RECEITA,2025-01,XLSX,,,
Rec.condomínio,53198.99,RECEITA,2025-01,XLSX,,,
Rec.taxa Uso Box,190.0,RECEITA,2025-01,XLSX,,,
Rec. Multa,77.5,RECEITA,2025-01,XLSX,,,
Rec.multa+C.m.+Jrs.,9.82,RECEITA,2025-01,XLSX,,,
13º Salario,69.16,RECEITA,2025-01,XLSX,,,
Subtotal,54783.56,RECEITA,2025-01,XLSX,,,
Pg.síndico Prof.,3871.0,DESPESA,2025-01,XLSX,,,
Pg.serv.portaria,19250.82,DESPESA,2025-01,XLSX,,,
Pg.serv.limp.,5305.09,DESPESA,2025-01,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2025-01,XLSX,,,
Pg.fgts,484.37,DESPESA,2025-01,XLSX,,,
Pg.vale Transporte,1086.63,DESPESA,2025-01,XLSX,,,
Pg.darf Inss(E-Social/Reinf),2336.12,DESPESA,2025-01,XLSX,,,
Pg.vale Refeição/Alimentação,200.0,DESPESA,2025-01,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2025-01,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2025-01,XLSX,,,
Pg.secovimed,175.32,DESPESA,2025-01,XLSX,,,
Pg.salário,3173.14,DESPESA,2025-01,XLSX,,,
Pg.folha Func.bco.,19.6,DESPESA,2025-01,XLSX,,,
Pg.seg.vida Func.01/2025,227.04,DESPESA,2025-01,XLSX,,,
Pg.contr.sind.patr./2025,322.23,DESPESA,2025-01,XLSX,,,
Água/Esgoto,7969.42,DESPESA,2025-01,XLSX,,,
Pg.ceee,2371.36,DESPESA,2025-01,XLSX,,,
Pg.limp.cx.d.água,514.5,DESPESA,2025-01,XLSX,,,
Pg.desinsetização,436.1,DESPESA,2025-01,XLSX,,,
Pg.bóia,637.29,DESPESA,2025-01,XLSX,,,
Peças Elevador,1026.88,DESPESA,2025-01,XLSX,,,
Pg.manut.elevador,922.88,DESPESA,2025-01,XLSX,,,
Pg.materiais,1175.29,DESPESA,2025-01,XLSX,,,
Pg.mat.limpeza,808.67,DESPESA,2025-01,XLSX,,,
Pg.tx.fin.sd.dev.12/2024,1108.0,DESPESA,2025-01,XLSX,,,
Pg.issqn,1149.73,DESPESA,2025-01,XLSX,,,
Pg.transações Bco.ted,36.0,DESPESA,2025-01,XLSX,,,
Pg.declaração Pmpa/Issqndec,38.0,DESPESA,2025-01,XLSX,,,
Pg. Internet,115.19,DESPESA,2025-01,XLSX,,,
Pg.tarifa Banco Cobrança,644.0,DESPESA,2025-01,XLSX,,,
Pg.impressões/Fotoc.,14.0,DESPESA,2025-01,XLSX,,,
Subtotal,57224.49,DESPESA,2025-01,XLSX,,,
Outros Eventos,52698.76,RECEITA,2025-02,XLSX,,,
Rec.cond.estacionamento,680.0,RECEITA,2025-02,XLSX,,,
Rec.alug.depósito,70.0,RECEITA,2025-02,XLSX,,,
Fundo Obras,462.34,RECEITA,2025-02,XLSX,,,
Rec.condomínio,51096.42,RECEITA,2025-02,XLSX,,,
Rec.taxa Uso Box,390.0,RECEITA,2025-02,XLSX,,,
Rec. Multa,42.28,RECEITA,2025-02,XLSX,,,
Rec.multa+C.m.+Jrs.,34.64,RECEITA,2025-02,XLSX,,,
13º Salario,7.92,RECEITA,2025-02,XLSX,,,
Subtotal,52783.6,RECEITA,2025-02,XLSX,,,
Pg.síndico Prof.,3871.0,DESPESA,2025-02,XLSX,,,
Pg.serv.portaria,20790.76,DESPESA,2025-02,XLSX,,,
Pg.serv.limp.,5729.47,DESPESA,2025-02,XLSX,,,
Pg.serv.prestados,5390.0,DESPESA,2025-02,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2025-02,XLSX,,,
Pg.vale Transporte,1335.65,DESPESA,2025-02,XLSX,,,
Pg.fgts,336.84,DESPESA,2025-02,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1558.06,DESPESA,2025-02,XLSX,,,
Pg.vale Refeição/Alimentação,200.0,DESPESA,2025-02,XLSX,,,
Pg.secovimed,175.32,DESPESA,2025-02,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2025-02,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2025-02,XLSX,,,
Pg.salário,3071.05,DESPESA,2025-02,XLSX,,,
Pg.folha Func.bco.,19.6,DESPESA,2025-02,XLSX,,,
Pg.seg.vida Func.02/2025,227.04,DESPESA,2025-02,XLSX,,,
Água/Esgoto,7768.22,DESPESA,2025-02,XLSX,,,
Pg.ceee,2601.24,DESPESA,2025-02,XLSX,,,
Pg.limp.cx.d.água,514.5,DESPESA,2025-02,XLSX,,,
Pg.desinsetização,274.4,DESPESA,2025-02,XLSX,,,
