evento,valor,tipo,mes_ano,fonte,Saldo Anterior (R$),Débitos (R$),Créditos (R$)
Pg.salário,3047.58,DESPESA,2022-07,XLSX,,,
Pg.folha Func.bco.,18.0,DESPESA,2022-07,XLSX,,,
Pg.seg.vida Func.07/2022,252.03,DESPESA,2022-07,XLSX,,,
Pg.assemb.ordin.,204.7,DESPESA,2022-07,XLSX,,,
Pg.ceee,4289.84,DESPESA,2022-07,XLSX,,,
Água,8120.21,DESPESA,2022-07,XLSX,,,
Peças Elevador,2517.59,DESPESA,2022-07,XLSX,,,
Pg.cons.fechadura,45.0,DESPESA,2022-07,XLSX,,,
Pg.manut.elevador,840.0,DESPESA,2022-07,XLSX,,,
Pg.rep.bombas,850.0,DESPESA,2022-07,XLSX,,,
Pg.rep.hidráulico,4803.0,DESPESA,2022-07,XLSX,,,
Pg.materiais,545.01,DESPESA,2022-07,XLSX,,,
Pg.reparos,600.0,DESPESA,2022-07,XLSX,,,
Pg.sacos Lixo,571.99,DESPESA,2022-07,XLSX,,,
Retirada P/Posterior Acerto,800.0,DESPESA,2022-07,XLSX,,,
Pg. Abertura Porta,80.0,DESPESA,2022-07,XLSX,,,
Pg.issqn,631.3,DESPESA,2022-07,XLSX,,,
Pg.transações Bco.ted/Doc,24.3,DESPESA,2022-07,XLSX,,,
Pg.impressões/Fotoc.,163.25,DESPESA,2022-07,XLSX,,,
Pg.declaração Pmpa/Issqndec,29.0,DESPESA,2022-07,XLSX,,,
Pg.emissão Darf/Impostos,35.0,DESPESA,2022-07,XLSX,,,
Pg.,200.0,DESPESA,2022-07,XLSX,,,
Pg.efd-Reinf/E-Social,27.0,DESPESA,2022-07,XLSX,,,
Pg.seguro Incêndio,981.25,DESPESA,2022-07,XLSX,,,
Pg.remessa Doctos.,177.2,DESPESA,2022-07,XLSX,,,
Subtotal,59583.64,DESPESA,2022-07,XLSX,,,
Outros Eventos,225244.69,RECEITA,2022-08,XLSX,,,
Fundo Obras,4452.86,RECEITA,2022-08,XLSX,,,
Rec.condomínio,217605.41,RECEITA,2022-08,XLSX,,,
Fundo Reserva,266.42,RECEITA,2022-08,XLSX,,,
Rec.cond.estacionamento,680.0,RECEITA,2022-08,XLSX,,,
Rec.alug.depósito,100.0,RECEITA,2022-08,XLSX,,,
Rec.taxa Uso Box,390.0,RECEITA,2022-08,XLSX,,,
Rec.devolução Retirada,1750.0,RECEITA,2022-08,XLSX,,,
Rec.multa+C.m.+Jrs.,177.17,RECEITA,2022-08,XLSX,,,
Rec. Multa,201.21,RECEITA,2022-08,XLSX,,,
Subtotal,225623.07,RECEITA,2022-08,XLSX,,,
Outros Eventos,2805.34,DESPESA,2022-08,XLSX,,,
Rec.devolução,2805.34,DESPESA,2022-08,XLSX,,,
Pg.gratificação,600.0,DESPESA,2022-08,XLSX,,,
