evento,valor,tipo,mes_ano,macro_categoria,motivo_anomalia
 Pg.contr.remoto ,176.13,DESPESA,2023-08,Outros,Evento sem categoria mapeada
 Pg.recarga Extintores ,3256.5,DESPESA,2023-08,Outros,Evento sem categoria mapeada
 Pg.custas Judiciais ,253.8,DESPESA,2023-08,Outros,Evento sem categoria mapeada
 Pg.devol.água ,30.15,DESPESA,2023-08,Outros,Evento sem categoria mapeada
 Pg.desp.divrs. ,1400.0,DESPESA,2023-08,Outros,Evento sem categoria mapeada
 Água ,7433.92,DESPESA,2023-08,Outros,Evento sem categoria mapeada
 Água ,10792.26,DESPESA,2023-09,Outros,Evento sem categoria mapeada
 Pg.cons.fechadura ,150.0,DESPESA,2023-09,Outros,Evento sem categoria mapeada
 Pg.extintores ,637.5,DESPESA,2023-09,Outros,Evento sem categoria mapeada
 Reparos Gerais ,500.0,DESPESA,2023-09,Outros,Evento sem categoria mapeada
 Pg.treinamento ,1875.0,DESPESA,2023-09,Outros,Evento sem categoria mapeada
 Pg.sacos Lixo ,526.27,DESPESA,2023-10,Outros,Evento sem categoria mapeada
 Água ,10972.68,DESPESA,2023-10,Outros,Evento sem categoria mapeada
 Pg.extintores ,637.5,DESPESA,2023-10,Outros,Evento sem categoria mapeada
 Pg.fotocópias ,106.7,DESPESA,2023-10,Outros,Evento sem categoria mapeada
 Rec.reembolso ,592.46,RECEITA,2023-10,Outros,Evento sem categoria mapeada
 Pg.treinamento ,1875.0,DESPESA,2023-10,Outros,Evento sem categoria mapeada
 Pg.materiais ,707.59,DESPESA,2023-11,Outros,Evento sem categoria mapeada
 Pg.cons.p.eletr. ,300.0,DESPESA,2023-11,Outros,Evento sem categoria mapeada
 Pg.cons.fechadura ,170.0,DESPESA,2023-11,Outros,Evento sem categoria mapeada
 Pg.coluna Água ,2300.0,DESPESA,2023-11,Outros,Evento sem categoria mapeada
 Pg.tapete ,320.0,DESPESA,2024-01,Outros,Evento sem categoria mapeada
 Pg.impermeabilização ,3900.0,DESPESA,2024-02,Outros,Evento sem categoria mapeada
 Pg.desp.divrs. ,1550.0,DESPESA,2024-02,Outros,Evento sem categoria mapeada
 Pg.reemb.elab.e Entr.dirf ,350.0,DESPESA,2024-02,Outros,Evento sem categoria mapeada
 Pg.assemb.ordin. ,195.8,DESPESA,2024-02,Outros,Evento sem categoria mapeada
 Pg. ,708.92,DESPESA,2024-03,Outros,Evento sem categoria mapeada
 Pg.correio Conv.assemb.c/Ar ,431.25,DESPESA,2024-03,Outros,Evento sem categoria mapeada
 Pg. ,708.93,DESPESA,2024-04,Outros,Evento sem categoria mapeada
 Pg.desp.cartório ,214.97,DESPESA,2024-04,Outros,Evento sem categoria mapeada
 Prov.darf Inss(E-Social/Reinf) ,1559.77,DESPESA,2024-05,Outros,Evento sem categoria mapeada
 Pg. ,650.0,DESPESA,2024-05,Outros,Evento sem categoria mapeada
 Adto.13º Salário ,1638.0,DESPESA,2024-05,Outros,Evento sem categoria mapeada
 Pg. ,484.23,DESPESA,2024-06,Outros,Evento sem categoria mapeada
 Prov.darf Inss(E-Social/Reinf) ,1489.57,DESPESA,2024-06,Outros,Evento sem categoria mapeada
 Pg.recarga Extintores ,5169.0,DESPESA,2024-07,Outros,Evento sem categoria mapeada
 Pg.disjuntor ,58.5,DESPESA,2024-07,Outros,Evento sem categoria mapeada
 Pg. ,7.0,DESPESA,2024-07,Outros,Evento sem categoria mapeada
 Pg.contr.remoto ,214.87,DESPESA,2024-08,Outros,Evento sem categoria mapeada
 Pg. ,144.0,DESPESA,2024-08,Outros,Evento sem categoria mapeada
 Pg.materiais ,596.98,DESPESA,2024-09,Outros,Evento sem categoria mapeada
 Pg.lâmpadas ,79.8,DESPESA,2024-09,Outros,Evento sem categoria mapeada
 Pg.lâmpadas ,1011.06,DESPESA,2024-10,Outros,Evento sem categoria mapeada
 Pg.bateria ,1106.1,DESPESA,2024-10,Outros,Evento sem categoria mapeada
 Pg.honor.processo ,1000.58,DESPESA,2024-10,Outros,Evento sem categoria mapeada
 Pg.coluna Água ,1450.0,DESPESA,2024-11,Outros,Evento sem categoria mapeada
 Pg.materiais ,1210.5,DESPESA,2024-11,Outros,Evento sem categoria mapeada
 Pg.coluna Água ,1450.0,DESPESA,2024-12,Outros,Evento sem categoria mapeada
 Pg.desinsetização ,436.1,DESPESA,2024-12,Outros,Evento sem categoria mapeada
 Pg.tapete ,1360.0,DESPESA,2024-12,Outros,Evento sem categoria mapeada
 Pg.desinsetização ,436.1,DESPESA,2025-01,Outros,Evento sem categoria mapeada
 Pg.materiais ,1175.29,DESPESA,2025-01,Outros,Evento sem categoria mapeada
 Pg.desinsetização ,274.4,DESPESA,2025-02,Outros,Evento sem categoria mapeada
 Pg.recarga Extintores ,480.0,DESPESA,2025-02,Outros,Evento sem categoria mapeada
 Pg.materiais ,938.75,DESPESA,2025-02,Outros,Evento sem categoria mapeada
 Pg.reemb.elab.e Entr.dirf ,350.0,DESPESA,2025-02,Outros,Evento sem categoria mapeada
 Pg. ,6365.0,DESPESA,2025-02,Outros,Evento sem categoria mapeada
 Pg.assemb.ordin. ,213.6,DESPESA,2025-03,Outros,Evento sem categoria mapeada
 Pg.conserto ,390.0,DESPESA,2025-03,Outros,Evento sem categoria mapeada
 Pg.correio Conv.assemb.c/Ar ,433.2,DESPESA,2025-03,Outros,Evento sem categoria mapeada
 Rec. ,470.36,RECEITA,2025-03,Outros,Evento sem categoria mapeada
 Obra Poço Luz ,10.48,RECEITA,2025-03,Outros,Evento sem categoria mapeada
 Pg. Serviços ,36.69,RECEITA,2025-03,Outros,Evento sem categoria mapeada
 Pg.desp.cartório ,213.99,DESPESA,2025-04,Outros,Evento sem categoria mapeada
 Pg.cons.fechadura ,780.0,DESPESA,2025-04,Outros,Evento sem categoria mapeada
 Pg.devolução ,40.71,DESPESA,2025-04,Outros,Evento sem categoria mapeada
 Pg.renovação Cert.digital ,145.0,DESPESA,2025-04,Outros,Evento sem categoria mapeada
 Rec. ,490.0,RECEITA,2025-04,Outros,Evento sem categoria mapeada
 Pg.desinsetização ,676.2,DESPESA,2025-05,Outros,Evento sem categoria mapeada
 Pg. ,704.62,DESPESA,2025-05,Outros,Evento sem categoria mapeada
 Pg.certificação Digital ,357.0,DESPESA,2025-05,Outros,Evento sem categoria mapeada
 Valor ,4377.68,DESPESA,2025-05,Outros,Evento sem categoria mapeada
 Rec. ,80.0,RECEITA,2025-05,Outros,Evento sem categoria mapeada
 Valor ,4377.68,RECEITA,2025-05,Outros,Evento sem categoria mapeada
 Pg.cons.fechadura ,550.0,DESPESA,2025-06,Outros,Evento sem categoria mapeada
 Pg.impermeabilização ,5500.0,DESPESA,2025-06,Outros,Evento sem categoria mapeada
 Pg. ,500.0,DESPESA,2025-06,Outros,Evento sem categoria mapeada
 Pg.taxa ,103.03,DESPESA,2025-06,Outros,Evento sem categoria mapeada
 Pg.locação ,287.64,DESPESA,2025-06,Outros,Evento sem categoria mapeada
 Pg. Taxa Crea ,103.03,DESPESA,2025-06,Outros,Evento sem categoria mapeada
 Valor ,1147.28,DESPESA,2025-07,Outros,Evento sem categoria mapeada
 Pg.recarga Extintores ,2610.0,DESPESA,2025-07,Outros,Evento sem categoria mapeada
 Pg.materiais ,1437.7,DESPESA,2025-07,Outros,Evento sem categoria mapeada
 Pg.custas Judiciais ,110.3,DESPESA,2025-07,Outros,Evento sem categoria mapeada
 Pg.correio Conv.assemb.c/Ar ,628.8,DESPESA,2025-07,Outros,Evento sem categoria mapeada
 Pg. ,1440.7,DESPESA,2025-07,Outros,Evento sem categoria mapeada
 Valor ,1147.28,RECEITA,2025-07,Outros,Evento sem categoria mapeada
 Pg.honor.processo ,3800.0,DESPESA,2025-07,Outros,Evento sem categoria mapeada
 Valor ,911.07,DESPESA,2025-08,Outros,Evento sem categoria mapeada
 Valor ,911.07,RECEITA,2025-08,Outros,Evento sem categoria mapeada
 Rec. ,396.35,RECEITA,2025-10,Outros,Evento sem categoria mapeada
 Valor ,12.96,DESPESA,2025-12,Outros,Evento sem categoria mapeada
 Valor ,12.96,RECEITA,2025-12,Outros,Evento sem categoria mapeada
 Valor ,4569.18,DESPESA,2026-01,Outros,Evento sem categoria mapeada
 Valor ,4569.18,RECEITA,2026-01,Outros,Evento sem categoria mapeada
 Valor ,3144.74,DESPESA,2026-03,Outros,Evento sem categoria mapeada
 Valor ,1122.07,RECEITA,2026-03,Outros,Evento sem categoria mapeada
 Valor ,1766.7,DESPESA,2026-05,Outros,Evento sem categoria mapeada
 Valor ,1766.7,RECEITA,2026-05,Outros,Evento sem categoria mapeada
 Valor ,575.18,DESPESA,2026-06,Outros,Evento sem categoria mapeada
 Valor ,575.18,RECEITA,2026-06,Outros,Evento sem categoria mapeada
