mes_ano,valor,historico,source
2023-08,984.23,PG.SEGURO INCÊNDIO,xlsx
2023-08,1400.0,RETIRADA P/POSTERIOR ACERTO,xlsx
2023-08,101.7,PG. INTERNET,xlsx
2023-08,38.0,PG.EMISSÃO DARF/IMPOSTOS,xlsx
2023-08,32.0,PG.DECLARAÇÃO PMPA/ISSQNDEC,xlsx
2023-08,21.0,PG.TRANSAÇÕES BCO.TED/DOC,xlsx
2023-08,7.0,PG.IMPRESSÕES/FOTOC.,xlsx
2023-08,44.2,PG.REMESSA DOCTOS.,xlsx
2023-08,29.0,PG.EFD-REINF/E-SOCIAL,xlsx
2023-08,1400.0,PG.DESP.DIVRS.,xlsx
2023-08,549.0,PG.TARIFA BANCO COBRANÇA,xlsx
2023-08,30.15,PG.DEVOL.ÁGUA,xlsx
2025-08,1552.0,PG.TX.FIN.SD.DEV.07/2025,xls
2025-08,11.04,REC.MULTA+C.M.+JRS.,xls
2025-08,269.05,REC.CONDOMÍNIO,xls
2025-08,316.1,REC.CONDOMÍNIO,xls
2025-08,320.8,REC.CONDOMÍNIO,xls
2025-08,452.71,REC.CONDOMÍNIO,xls
2025-08,471.08,REC.CONDOMÍNIO,xls
2025-08,3871.0,PG.SÍNDICO PROF.,xls
2025-08,324.94,REC.CONDOMÍNIO,xls
2025-08,326.14,REC.CONDOMÍNIO,xls
2025-08,414.27,REC.CONDOMÍNIO,xls
2025-08,862.02,REC.CONDOMÍNIO,xls
2025-08,1193.1,PG.MANUT.BOMBAS,xls
2025-08,6.44,REC. MULTA,xls
2025-08,293.01,REC.CONDOMÍNIO,xls
2025-08,6.5,REC. MULTA,xls
2025-08,293.01,REC.CONDOMÍNIO,xls
2025-08,478.75,REC.CONDOMÍNIO,xls
2025-08,414.27,REC.CONDOMÍNIO,xls
2025-08,471.08,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,414.27,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,8.0,REC. MULTA,xls
2025-08,369.33,REC.CONDOMÍNIO,xls
2025-08,453.31,REC.CONDOMÍNIO,xls
2025-08,332.64,REC.CONDOMÍNIO,xls
2025-08,413.07,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,413.07,REC.CONDOMÍNIO,xls
2025-08,320.8,REC.CONDOMÍNIO,xls
2025-08,413.07,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,337.98,REC.CONDOMÍNIO,xls
2025-08,414.27,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,324.94,REC.CONDOMÍNIO,xls
2025-08,324.94,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,332.64,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,734.9,REC.CONDOMÍNIO,xls
2025-08,497.09,REC.CONDOMÍNIO,xls
2025-08,350.99,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,324.94,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,326.14,REC.CONDOMÍNIO,xls
2025-08,452.71,REC.CONDOMÍNIO,xls
2025-08,734.9,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,598.17,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,68.0,PG.TRANSAÇÕES BCO.TED,xls
2025-08,320.8,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,320.8,REC.CONDOMÍNIO,xls
2025-08,452.71,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,734.9,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,414.27,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,887.42,REC.CONDOMÍNIO,xls
2025-08,337.98,REC.CONDOMÍNIO,xls
2025-08,504.37,PG.REP.HIDRÁULICO,xls
2025-08,1471.0,PG.SEGURO INCÊNDIO,xls
2025-08,1082.9,PG.MATERIAL,xls
2025-08,38.0,PG.DECLARAÇÃO PMPA/ISSQNDEC,xls
2025-08,1500.15,PG.ISSQN,xls
2025-08,357.48,REC.CONDOMÍNIO,xls
2025-08,379.37,REC.CONDOMÍNIO,xls
2025-08,332.64,REC.CONDOMÍNIO,xls
2025-08,320.8,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,414.27,REC.CONDOMÍNIO,xls
2025-08,862.02,REC.CONDOMÍNIO,xls
2025-08,326.14,REC.CONDOMÍNIO,xls
2025-08,332.64,REC.CONDOMÍNIO,xls
2025-08,598.17,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,414.27,REC.CONDOMÍNIO,xls
2025-08,734.9,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,324.94,REC.CONDOMÍNIO,xls
2025-08,332.64,REC.CONDOMÍNIO,xls
2025-08,465.08,REC.CONDOMÍNIO,xls
2025-08,471.08,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,414.27,REC.CONDOMÍNIO,xls
2025-08,326.14,REC.CONDOMÍNIO,xls
2025-08,332.64,REC.CONDOMÍNIO,xls
2025-08,598.17,REC.CONDOMÍNIO,xls
2025-08,320.8,REC.CONDOMÍNIO,xls
2025-08,734.9,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,452.71,REC.CONDOMÍNIO,xls
2025-08,324.94,REC.CONDOMÍNIO,xls
2025-08,316.1,REC.CONDOMÍNIO,xls
2025-08,332.64,REC.CONDOMÍNIO,xls
2025-08,471.08,REC.CONDOMÍNIO,xls
2025-08,413.07,REC.CONDOMÍNIO,xls
2025-08,734.9,REC.CONDOMÍNIO,xls
2025-08,316.1,REC.CONDOMÍNIO,xls
2025-08,326.14,REC.CONDOMÍNIO,xls
2025-08,332.64,REC.CONDOMÍNIO,xls
2025-08,320.8,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,734.9,REC.CONDOMÍNIO,xls
2025-08,413.07,REC.CONDOMÍNIO,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,452.71,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,316.1,REC.CONDOMÍNIO,xls
2025-08,326.14,REC.CONDOMÍNIO,xls
2025-08,332.64,REC.CONDOMÍNIO,xls
2025-08,471.08,REC.CONDOMÍNIO,xls
2025-08,320.8,REC.CONDOMÍNIO,xls
2025-08,734.9,REC.CONDOMÍNIO,xls
2025-08,526.07,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,452.71,REC.CONDOMÍNIO,xls
2025-08,326.14,REC.CONDOMÍNIO,xls
2025-08,337.98,REC.CONDOMÍNIO,xls
2025-08,320.8,REC.CONDOMÍNIO,xls
2025-08,414.27,REC.CONDOMÍNIO,xls
2025-08,896.46,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
