mes_ano,evento,valor,tipo,source,type
2025-08,REC.CONDOMÍNIO,6038.16,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,337.98,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,734.9,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,322.56,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,322.56,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,337.98,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,326.14,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,734.9,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,322.56,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,337.98,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,413.07,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,322.56,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,322.56,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,402.76,,xls_fill,gap_fill
2025-08,REC. MULTA,14.77,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,445.63,,xls_fill,gap_fill
2025-08,REC.MULTA+C.M.+JRS.,29.61,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,395.96,,xls_fill,gap_fill
2025-08,REC.MULTA+C.M.+JRS.,21.68,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,396.79,,xls_fill,gap_fill
2025-08,REC. MULTA,6.49,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,322.56,,xls_fill,gap_fill
2025-08,PG.SINDEF DISSÍDIO-DESC.FL.PGTº.,238.2,,xls_fill,gap_fill
2025-08,PG.ADTO.SALÁRIO,300.0,,xls_fill,gap_fill
2025-08,PG.ADTO.SALÁRIO,300.0,,xls_fill,gap_fill
2025-08,ÁGUA/ESGOTO,9044.28,,xls_fill,gap_fill
2025-08,PG.MATERIAL,889.0,,xls_fill,gap_fill
2025-08,PG.MATERIAL,147.83,,xls_fill,gap_fill
